strain,day,mean_b,genotype,age,intrinsic_growth_rate
MY1,Day 2,121.2,swept,4,1.28716414799841
MY1,Day 3,79.2,swept,5,1.10540905923123
MY1,Day 4,30,swept,6,0.939962857446715
MY1,Day 5,12.4,swept,7,0.811842751962825
MY18,Day 1,55.4,swept,3,1.33819319791775
MY18,Day 2,148.4,swept,4,1.32928478019716
MY18,Day 3,63.2,swept,5,1.11744973168005
MY18,Day 4,7.6,swept,6,0.935885915555645
MY18,Day 5,4,swept,7,0.804253865906529
QG536,Day 1,31,swept,3,1.14466240149505
QG536,Day 2,102.25,swept,4,1.22305676576149
QG536,Day 3,113.75,swept,5,1.1018776673256
QG536,Day 4,18.25,swept,6,0.930112129582349
QG536,Day 5,8.25,swept,7,0.801614517408862
QX1212,Day 1,55,swept,3,1.33577772841082
QX1212,Day 2,155,swept,4,1.33677688267937
QX1212,Day 3,72,swept,5,1.12838141418762
QX1212,Day 4,6.5,swept,6,0.944115847658026
QX1212,Day 5,0.5,swept,7,0.809489526873205
EG4946,Day 1,31.5,swept,3,1.14999584861053
EG4946,Day 2,109.5,swept,4,1.23718997259454
EG4946,Day 3,86.5,swept,5,1.0854300476782
EG4946,Day 4,37.75,swept,6,0.930112129582349
EG4946,Day 5,3,swept,7,0.798845625930115
JU1088,Day 1,22.25,swept,3,1.03411400287075
JU1088,Day 2,116.75,swept,4,1.23361848328267
JU1088,Day 3,92.25,swept,5,1.08869987527851
JU1088,Day 4,32.5,swept,6,0.929166947465046
JU1088,Day 5,0.75,swept,7,0.796834464471193
JU323,Day 1,30.4,swept,3,1.13814753613739
JU323,Day 2,140.2,swept,4,1.28483040876439
JU323,Day 3,102,swept,5,1.12160110385249
JU323,Day 4,13,swept,6,0.942432038410905
JU323,Day 5,2.4,swept,7,0.808994354305135
JU751,Day 1,8.25,swept,3,0.70340440011553
JU751,Day 2,75.5,swept,4,1.10695904267629
JU751,Day 3,48.75,swept,5,0.977316529085255
JU751,Day 4,11,swept,6,0.827722505866613
JU751,Day 5,1.25,swept,7,0.710715445207586
JU830,Day 1,17.8,swept,3,0.959732819099346
JU830,Day 2,89.2,swept,4,1.16820720861548
JU830,Day 3,67,swept,5,1.03181105984291
JU830,Day 4,29.4,swept,6,0.885862413935743
JU830,Day 5,0.6,swept,7,0.759731427692031
QX1233,Day 1,30,swept,3,1.13373246055405
QX1233,Day 2,134,swept,4,1.27496660695605
QX1233,Day 3,70.5,swept,5,1.09149111757727
QX1233,Day 4,7.5,swept,6,0.914822954359448
QX1233,Day 5,0.75,swept,7,0.784576015310205
CB4854,Day 1,31,swept,3,1.14466240149505
CB4854,Day 2,133.6,swept,4,1.27587957206074
CB4854,Day 3,78.4,swept,5,1.09861228866811
CB4854,Day 4,6.4,swept,6,0.919843005540989
CB4854,Day 5,2,swept,7,0.789577899450878
CX11292,Day 1,14.8,swept,3,0.89820906025669
CX11292,Day 2,111.8,swept,4,1.21025812742752
CX11292,Day 3,89.8,swept,5,1.07542570939447
CX11292,Day 4,22.4,swept,6,0.912604396919741
CX11292,Day 5,0.8,swept,7,0.782710123748756
GXW1,Day 1,18,swept,3,0.963457252632055
GXW1,Day 2,89,swept,4,1.16820720861548
GXW1,Day 3,98.8,swept,5,1.06538096467999
GXW1,Day 4,37.4,swept,6,0.915647358348669
GXW1,Day 5,3.8,swept,7,0.78705547666114
JU2464,Day 1,21.6,swept,3,1.02423110489671
JU2464,Day 2,118,swept,4,1.23469529758207
JU2464,Day 3,63.8,swept,5,1.06303489672289
JU2464,Day 4,7.6,swept,6,0.891976355579344
JU2464,Day 5,4.6,swept,7,0.76763211986212
JU561,Day 1,32.6,swept,3,1.16143742945755
JU561,Day 2,139.4,swept,4,1.28687361920336
JU561,Day 3,52.4,swept,5,1.08268603472971
JU561,Day 4,8.6,swept,6,0.908506408927617
JU561,Day 5,0.6,swept,7,0.779087178707725
JU847,Day 1,20,swept,3,0.998577424517997
JU847,Day 2,140.25,swept,4,1.26918377395019
JU847,Day 3,33.5,swept,5,1.05331373364669
JU847,Day 4,4.25,swept,6,0.881377838449089
JU847,Day 5,1.75,swept,7,0.756723797806626
NIC166,Day 1,34.6,swept,3,1.18128456068789
